id,common_name,botanical_name,growth_shape,growing_season_months,flowering_season_months,flower_color,foliage_color_spring,foliage_color_summer,foliage_color_fall,foliage_color_winter,sun_pref,water_pref,soil_pref,width_ft,height_ft,inflorescence,flower_count_hint,flower_zone,fruit_color,fruit_season_months,fruit_load,usda_symbol,usda_scientific_name_full,usda_growth_habit,usda_native_status,usda_growth_form,usda_shape_and_orientation,usda_foliage_texture,usda_foliage_porosity_summer,usda_foliage_porosity_winter,usda_leaf_retention,usda_flower_conspicuous,usda_fruit_conspicuous,usda_fall_conspicuous,usda_bloom_period,usda_active_growth_period,usda_fruit_seed_period_begin,usda_fruit_seed_period_end,usda_height_mature_ft,usda_shade_tolerance,usda_drought_tolerance,usda_moisture_use,usda_soil_coarse,usda_soil_medium,usda_soil_fine,usda_ph_min,usda_ph_max
perennial-pea,perennial pea,Lathyrus latifolius,mound,3-8,5,#8f6fb3,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2,,,,#6b5a4a,6-8,light,LALA4,Lathyrus latifolius L.,Forb/herb,CAN:I|HI:I|L48:I,Rhizomatous,Decumbent,Coarse,Moderate,Porous,No,Yes,No,No,Late Spring,Spring and Summer,Summer,Summer,2.0,High,High,Low,Yes,Yes,No,5.8,7.5
white-mangrove,white mangrove,Laguncularia racemosa,vase,"1,2,3,4,5,9,10,11,12",3-5,#f1f1e2,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,50,,,,#5b7a4b,3-11,moderate,LARA2,Laguncularia racemosa (L.) C.F. Gaertn.,Shrub,L48:N|PR:N|VI:N,,Rounded,Coarse,Dense,Dense,Yes,No,No,No,Spring,"Fall, Winter and Spring",Spring,Fall,50.0,High,Low,High,Yes,Yes,Yes,6.0,8.5
shrub-lespedeza,shrub lespedeza,Lespedeza bicolor,mound,6-8,6,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,8,,,,#6b5a4a,6-11,moderate,LEBI2,Lespedeza bicolor Turcz.,Forb/herb,CAN:I|L48:I,Multiple Stem,Erect,Coarse,Dense,Porous,No,Yes,No,No,Early Summer,Summer,Summer,Fall,8.0,High,Low,Medium,Yes,Yes,Yes,5.8,7.5
roundhead-lespedeza,roundhead lespedeza,Lespedeza capitata,mound,6-8,8,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy",,2.6,,,,#e8d24a,6-11,light,LECA8,Lespedeza capitata Michx.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Medium,Moderate,Porous,No,No,No,No,Late Summer,Summer,Summer,Fall,2.6,High,High,Low,Yes,Yes,No,5.7,8.2
green-sprangletop,green sprangletop,Leptochloa dubia,grass,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-8,heavy,LEDU,Leptochloa dubia (Kunth) Nees,Graminoid,L48:N,Bunch,Erect,Medium,Dense,Porous,No,No,No,No,Mid Spring,Spring and Summer,Spring,Summer,3.0,High,High,Medium,Yes,Yes,Yes,6.0,8.0
bearded-sprangletop,bearded sprangletop,Leptochloa fusca ssp. fascicularis,grass,3-5,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy",,3.3,,,,#e8d24a,6-11,heavy,LEFUF,Leptochloa fusca (L.) Kunth ssp. fascicularis (Lam.) N. Snow,Graminoid,CAN:I|L48:N|PR:N|VI:N,Multiple Stem,Erect,Fine,Porous,Porous,No,No,No,No,Summer,Spring,Summer,Fall,3.3,High,Low,High,Yes,Yes,No,4.0,7.5
hairy-lespedeza,hairy lespedeza,Lespedeza hirta,mound,6-8,8,#f1f1e2,,,,,full-sun,low,"sandy,loamy,clay",,6,,,,#3a3a34,9-12,heavy,LEHI2,Lespedeza hirta (L.) Hornem.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Medium,Dense,Dense,No,Yes,Yes,Yes,Late Summer,Summer,Fall,Winter,6.0,High,Medium,Low,Yes,Yes,Yes,5.8,6.9
white-leadtree,white leadtree,Leucaena leucocephala,vase,3-8,,#f1f1e2,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,20,,,,#6b5a4a,1-12,moderate,LELE10,Leucaena leucocephala (Lam.) de Wit,Shrub,L48:I|NAV:I|PB:I|VI:I,Single Stem,Erect,Fine,Dense,Dense,Yes,No,Yes,Yes,Indeterminate,Spring and Summer,Year Round,Year Round,20.0,High,High,Low,Yes,Yes,Yes,5.0,8.7
catchfly-grass,catchfly grass,Leersia lenticularis,grass,3-5,9-11,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2.6,,,,#b3261e,9-11,moderate,LELE2,Leersia lenticularis Michx.,Graminoid,L48:N,Rhizomatous,Erect,Fine,,,No,No,No,No,Fall,Spring,Fall,Fall,2.6,High,Low,Medium,Yes,Yes,Yes,5.0,8.0
common-duckweed,common duckweed,Lemna minor,mound,6-8,6-8,#5b7a4b,,#5b7a4b,,,full-sun,high,,,,,,,,6-8,,LEMI3,Lemna minor L.,Forb/herb,AK:N|CAN:N|L48:N,Single Crown,Decumbent,Fine,,,No,No,No,No,Summer,Summer,Summer,Summer,,High,None,High,No,No,No,4.1,8.8
rice-cutgrass,rice cutgrass,Leersia oryzoides,grass,6-8,,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,4.9,,,,#b3261e,3-11,heavy,LEOR,Leersia oryzoides (L.) Sw.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Moderate,Porous,No,No,No,No,Indeterminate,Summer,Spring,Fall,4.9,High,Low,High,Yes,Yes,Yes,5.1,8.8
littleleaf-leadtree,littleleaf leadtree,Leucaena retusa,vase,6-11,3,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy",,25,,,,#5b7ea3,6-11,heavy,LERE5,Leucaena retusa Benth.,Shrub,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Early Spring,Summer and Fall,Summer,Fall,25.0,High,High,Low,Yes,Yes,No,6.2,8.5
star-duckweed,star duckweed,Lemna trisulca,mound,6-8,5,#5b7a4b,,#5b7a4b,,,full-sun,high,,,0.3,,,,#5b7a4b,6-8,,LETR,Lemna trisulca L.,Forb/herb,AK:N|CAN:N|L48:N,Stoloniferous,Decumbent,Fine,Porous,Porous,No,No,No,No,Late Spring,Summer,Summer,Summer,0.3,High,None,High,No,No,No,5.7,7.0
beardless-wildrye,beardless wildrye,Leymus triticoides,grass,3-11,5,#e8d24a,,#5b7a4b,,,full-sun,low,"sandy,loamy,clay",,3,,,,#6b5a4a,6-8,light,LETR5,Leymus triticoides (Buckley) Pilg.,Graminoid,CAN:N|HI:I|L48:N,Rhizomatous,Erect,Coarse,Moderate,Porous,No,No,No,No,Late Spring,"Spring, Summer, Fall",Summer,Summer,3.0,High,High,Low,Yes,Yes,Yes,6.6,9.0
valdivia-duckweed,valdivia duckweed,Lemna valdiviana,mound,6-11,5,#5b7a4b,,#5b7a4b,,,full-sun,high,,,0.1,,,,#5b7a4b,6-8,,LEVA,Lemna valdiviana Phil.,Forb/herb,L48:N|PR:N,Stoloniferous,Decumbent,Fine,Porous,Porous,No,No,No,No,Late Spring,Summer and Fall,Summer,Summer,0.1,High,None,High,No,No,No,5.7,7.0
whitegrass,whitegrass,Leersia virginica,grass,3-5,8,#5b7a4b,,#5b7a4b,,,shade,medium,"sandy,loamy",,3.9,,,,#b3261e,6-11,moderate,LEVI2,Leersia virginica Willd.,Graminoid,CAN:N|L48:N,Rhizomatous,Erect,Fine,Porous,Porous,No,No,No,No,Late Summer,Spring,Summer,Fall,3.9,Low,None,Medium,Yes,Yes,No,4.5,8.5
oxeye-daisy,oxeye daisy,Leucanthemum vulgare,mound,3-8,6-8,#f1f1e2,,#5b7a4b,,,part-sun,low,"sandy,loamy",,1.3,,,,#6b5a4a,6-11,moderate,LEVU,Leucanthemum vulgare Lam.,Forb/herb,AK:I|CAN:I|HI:I|L48:I|SPM:I,Bunch,Erect,Coarse,Moderate,Porous,No,No,Yes,No,Summer,Spring and Summer,Summer,Fall,1.3,Medium,Medium,Low,Yes,Yes,No,5.2,7.0
amur-privet,Amur privet,Ligustrum amurense,vase,3-5,5,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,12,,,,#3a3a34,6-11,moderate,LIAM,Ligustrum amurense Carrière,Shrub,L48:I,Multiple Stem,Erect,Coarse,Dense,Dense,No,Yes,Yes,No,Late Spring,Spring,Summer,Fall,12.0,Medium,Medium,Medium,No,Yes,Yes,5.8,7.5
northern-spicebush,northern spicebush,Lindera benzoin,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,12,,,,#b3261e,6-11,light,LIBE3,Lindera benzoin (L.) Blume,Shrub,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Spring,Spring and Summer,Summer,Fall,12.0,Medium,Low,Medium,No,Yes,Yes,4.5,6.0
lavender-thrift,lavender thrift,Limonium carolinianum,mound,3-5,6-8,#8f6fb3,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,2,,,,#5b7ea3,6-11,light,LICA17,Limonium carolinianum (Walter) Britton,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Medium,,,No,Yes,No,No,Summer,Spring,Summer,Fall,2.0,High,Low,High,Yes,Yes,Yes,6.0,8.5
japanese-privet,Japanese privet,Ligustrum japonicum,vase,3-8,6-8,#f1f1e2,,,,,shade,low,"sandy,loamy,clay",,10,,,,#3a3a34,6-11,heavy,LIJA,Ligustrum japonicum Thunb.,Shrub,L48:I|PR:I,Multiple Stem,Erect,Medium,Dense,Dense,Yes,Yes,Yes,No,Summer,Spring and Summer,Summer,Fall,10.0,Low,Medium,Low,Yes,Yes,Yes,5.5,6.9
lewis-flax,Lewis flax,Linum lewisii,mound,3-5,,#5b7ea3,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,2.5,,,,#6b5a4a,6-8,moderate,LILE3,Linum lewisii Pursh,Forb/herb,AK:N|CAN:N|L48:N,Single Stem,Erect,Medium,Porous,Porous,No,Yes,No,No,Indeterminate,Spring,Summer,Summer,2.5,High,Medium,Medium,Yes,Yes,No,5.6,8.4
california-privet,California privet,Ligustrum ovalifolium,vase,3-8,6,#f1f1e2,,#5b7a4b,,,full-sun,medium,"loamy,clay",,16,,,,#3a3a34,6-11,moderate,LIOV,Ligustrum ovalifolium Hassk.,Shrub,CAN:I|L48:I|PR:I,Multiple Stem,Erect,Coarse,Dense,Dense,Yes,Yes,Yes,No,Early Summer,Spring and Summer,Summer,Fall,16.0,High,Medium,Medium,No,Yes,Yes,5.9,7.7
dotted-blazing-star,dotted blazing star,Liatris punctata,mound,6-8,7,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2,,,,#6b5a4a,6-11,light,LIPU,Liatris punctata Hook.,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,2.0,High,High,Medium,Yes,Yes,Yes,6.0,7.8
prairie-blazing-star,prairie blazing star,Liatris pycnostachya,mound,6-8,7,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3.5,,,,#6b5a4a,6-11,moderate,LIPY,Liatris pycnostachya Michx.,Forb/herb,L48:N,Multiple Stem,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Mid Summer,Summer,Summer,Fall,3.5,High,Medium,Medium,Yes,Yes,Yes,6.0,8.5
american-spongeplant,American spongeplant,Limnobium spongia,mound,3-5,4,#f1f1e2,,#5b7a4b,,,full-sun,high,"loamy,clay",,0.5,,,,#5b7a4b,3-11,heavy,LISP2,Limnobium spongia (Bosc) Rich. ex Steud.,Forb/herb,L48:N,Stoloniferous,Decumbent,Coarse,,,No,No,No,No,Mid Spring,Spring,Spring,Fall,0.5,High,None,High,No,Yes,Yes,5.0,5.9
appalachian-blazing-star,Appalachian blazing star,Liatris squarrulosa,mound,6-11,8,#8f6fb3,,#5b7a4b,,,part-sun,medium,"loamy,clay",,2.5,,,,#6b5a4a,6-11,light,LISQ2,Liatris squarrulosa Michx.,Forb/herb,L48:N,Bunch,Erect,Coarse,Moderate,Porous,No,Yes,No,No,Late Summer,Summer and Fall,Summer,Fall,2.5,Medium,Medium,Medium,No,Yes,Yes,5.4,7.5
ridged-yellow-flax,ridged yellow flax,Linum striatum,mound,3-5,6-8,#e8d24a,,#5b7a4b,,,shade,medium,"loamy,clay",,2.6,,,,#6b5a4a,9-11,moderate,LIST,Linum striatum Walter,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Fine,Porous,Porous,No,No,Yes,No,Summer,Spring,Fall,Fall,2.6,Low,Low,Medium,No,Yes,Yes,5.0,8.0
sweetgum,sweetgum,Liquidambar styraciflua,tree,3-8,4,#5b7a4b,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,100,,,,#6b5a4a,6-11,moderate,LIST2,Liquidambar styraciflua L.,Tree,L48:N,Single Stem,Erect,Medium,Dense,Porous,No,No,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,100.0,High,Low,High,Yes,Yes,Yes,4.5,7.0
tuliptree,tuliptree,Liriodendron tulipifera,tree,3-8,4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,120,,,,#6b5a4a,6-8,heavy,LITU,Liriodendron tulipifera L.,Tree,CAN:N|L48:N,Single Stem,Erect,Medium,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Summer,120.0,High,Low,Medium,Yes,Yes,No,4.5,6.5
european-privet,European privet,Ligustrum vulgare,vase,3-8,4,#f1f1e2,,#5b7a4b,,,part-sun,medium,"loamy,clay",,12,,,,#3a3a34,6-11,moderate,LIVU,Ligustrum vulgare L.,Shrub,CAN:I|L48:I,Multiple Stem,Erect,Medium,Dense,Moderate,No,Yes,Yes,No,Mid Spring,Spring and Summer,Summer,Fall,12.0,Medium,Medium,Medium,No,Yes,Yes,5.0,7.5
cardinalflower,cardinalflower,Lobelia cardinalis,mound,3-5,6-8,#b3261e,,#5b7a4b,,,shade,low,loamy,,5.9,,,,#5b7ea3,6-11,moderate,LOCA2,Lobelia cardinalis L.,Forb/herb,CAN:N|L48:N,Single Stem,Erect,Medium,,,No,Yes,No,No,Summer,Spring,Summer,Fall,5.9,Low,Medium,Low,No,Yes,No,5.8,7.8
bird-s-foot-trefoil,bird's-foot trefoil,Lotus corniculatus,mound,3-8,3-5,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,2.4,,,,#6b5a4a,6-8,moderate,LOCO6,Lotus corniculatus L.,Forb/herb,CAN:I|L48:I|SPM:I,Single Crown,Semi-Erect,Medium,Porous,Porous,No,Yes,No,No,Spring,Spring and Summer,Summer,Summer,2.4,High,Medium,Medium,Yes,Yes,Yes,6.0,8.0
japanese-honeysuckle,Japanese honeysuckle,Lonicera japonica,low-climber,3-11,4,#f1f1e2,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,1,,,,#3a3a34,6-8,light,LOJA,Lonicera japonica Thunb.,Vine,CAN:I|HI:I|L48:I|PR:I,Stoloniferous,Prostrate,Medium,Dense,Moderate,Yes,Yes,Yes,No,Mid Spring,"Spring, Summer, Fall",Summer,Summer,1.0,Low,Medium,Medium,Yes,Yes,Yes,4.9,8.3
amur-honeysuckle,Amur honeysuckle,Lonicera maackii,vase,3-8,5,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,16,,,,#b3261e,6-11,moderate,LOMA6,Lonicera maackii (Rupr.) Herder,Shrub,CAN:I|L48:I,Multiple Stem,Semi-Erect,Coarse,Dense,Moderate,No,Yes,Yes,Yes,Late Spring,Spring and Summer,Summer,Fall,16.0,Medium,Low,Medium,Yes,Yes,Yes,6.0,8.0
perennial-ryegrass,perennial ryegrass,Lolium perenne,grass,3-11,4,#e8d24a,,#5b7a4b,,,part-sun,medium,"loamy,clay",,3.5,,,,#6b5a4a,3-8,heavy,LOPE,Lolium perenne L.,Graminoid,AK:I|CAN:I|GL:I|HI:I|L48:I|PR:I|SPM:I,Bunch,Erect,Medium,Porous,Porous,No,No,No,No,Mid Spring,"Spring, Summer, Fall",Spring,Summer,3.5,Medium,Medium,Medium,No,Yes,Yes,5.2,8.0
italian-ryegrass,Italian ryegrass,Lolium perenne ssp. multiflorum,grass,3-8,3,#e8d24a,,#5b7a4b,,,part-sun,medium,"sandy,loamy,clay",,3,,,,#6b5a4a,3-5,heavy,LOPEM2,Lolium perenne L. ssp. multiflorum (Lam.) Husnot,Graminoid,AK:I|CAN:I|GL:I|HI:I|L48:I|SPM:I,Bunch,Erect,Fine,Porous,Porous,No,No,No,No,Early Spring,Spring and Summer,Spring,Spring,3.0,Medium,Low,Medium,Yes,Yes,Yes,5.0,7.9
wimmera-ryegrass,Wimmera ryegrass,Lolium rigidum,grass,"1,2,3,4,5,9,10,11,12",4,#e8d24a,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,3.5,,,,#6b5a4a,3-8,heavy,LORI,Lolium rigidum Gaudin,Graminoid,CAN:I|L48:I,Bunch,Erect,Medium,Porous,Porous,No,No,No,No,Mid Spring,"Fall, Winter and Spring",Spring,Summer,3.5,High,Low,Medium,Yes,Yes,Yes,6.0,8.5
trumpet-honeysuckle,trumpet honeysuckle,Lonicera sempervirens,low-climber,3-5,8,#b3261e,,#5b7a4b,,,shade,medium,"loamy,clay",,16,,,,#3a3a34,6-11,moderate,LOSE,Lonicera sempervirens L.,Vine,CAN:I|L48:N,Multiple Stem,Climbing,Medium,Dense,Dense,Yes,Yes,Yes,No,Late Summer,Spring,Summer,Fall,16.0,Low,Low,Medium,No,Yes,Yes,6.0,8.5
tatarian-honeysuckle,Tatarian honeysuckle,Lonicera tatarica,vase,3-8,4,#b3261e,,#5b7a4b,,,part-sun,medium,"sandy,loamy",,9,,,,#b3261e,6-8,moderate,LOTA,Lonicera tatarica L.,Shrub,AK:I|CAN:I|L48:I,Multiple Stem,Erect,Coarse,Dense,Moderate,No,Yes,Yes,No,Mid Spring,Spring and Summer,Summer,Summer,9.0,Medium,Medium,Medium,Yes,Yes,No,5.2,7.5
silvery-lupine,silvery lupine,Lupinus argenteus,mound,3-8,8,#5b7ea3,,,,,full-sun,low,"sandy,loamy,clay",,1.5,,,,#6b5a4a,6-11,heavy,LUAR3,Lupinus argenteus Pursh,Forb/herb,CAN:N|L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Late Summer,Spring and Summer,Summer,Fall,1.5,High,Medium,Low,Yes,Yes,Yes,7.0,8.0
tailcup-lupine,tailcup lupine,Lupinus caudatus,mound,3-8,6-8,#5b7ea3,,#5b7a4b,,,full-sun,low,"sandy,loamy",,5,,,,#6b5a4a,3-11,moderate,LUCA,Lupinus caudatus Kellogg,Forb/herb,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Summer,Spring and Summer,Spring,Fall,5.0,High,Medium,Low,Yes,Yes,No,7.0,8.0
wingleaf-primrose-willow,wingleaf primrose-willow,Ludwigia decurrens,mound,6-8,7,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,4.5,,,,#6b5a4a,6-11,moderate,LUDE4,Ludwigia decurrens Walter,Forb/herb,L48:N|PR:N,Single Crown,Erect,Medium,Moderate,Porous,No,No,No,No,Mid Summer,Summer,Summer,Fall,4.5,Low,None,High,No,Yes,Yes,4.0,6.0
big-bend-bluebonnet,Big Bend bluebonnet,Lupinus havardii,mound,3-11,3,#5b7ea3,,#5b7a4b,,,part-sun,low,"sandy,loamy",,20,,,,#6b5a4a,3-11,moderate,LUHA,Lupinus havardii S. Watson,Forb/herb,L48:N,Multiple Stem,Erect,Fine,Porous,Porous,No,Yes,Yes,No,Early Spring,"Spring, Summer, Fall",Spring,Fall,20.0,Medium,High,Low,Yes,Yes,No,7.5,8.0
marsh-seedbox,marsh seedbox,Ludwigia palustris,mound,6-8,3-5,#5b7a4b,,,,,full-sun,high,"sandy,loamy,clay",,0.2,,,,#e8d24a,6-11,light,LUPA,Ludwigia palustris (L.) Elliott,Forb/herb,CAN:N|HI:I|L48:N|PR:N,Stoloniferous,Prostrate,Fine,,,No,No,No,No,Spring,Summer,Summer,Fall,0.2,High,None,High,Yes,Yes,Yes,5.0,8.5
american-water-horehound,American water horehound,Lycopus americanus,mound,6-11,6,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,1.8,,,,#6b5a4a,6-11,moderate,LYAM,Lycopus americanus Muhl. ex W.P.C. Barton,Forb/herb,CAN:N|L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Early Summer,Summer and Fall,Summer,Fall,1.8,Low,Low,High,No,Yes,Yes,5.2,7.8
rough-bugleweed,rough bugleweed,Lycopus asper,mound,6-11,7,,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,2.1,,,,#6b5a4a,6-11,moderate,LYAS,Lycopus asper Greene,Forb/herb,AK:N|CAN:N|L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,2.1,Low,Low,High,Yes,Yes,Yes,6.0,8.0
carolina-desert-thorn,Carolina desert-thorn,Lycium carolinianum,vase,3-5,9-11,#8f6fb3,,#5b7a4b,,,full-sun,high,"sandy,loamy,clay",,9,,,,#b3261e,9-11,light,LYCA2,Lycium carolinianum Walter,Shrub,L48:N,Single Stem,Erect,Medium,Moderate,Porous,No,Yes,Yes,No,Fall,Spring,Fall,Fall,9.0,High,None,High,Yes,Yes,Yes,5.5,9.0
lanceleaf-loosestrife,lanceleaf loosestrife,Lysimachia lanceolata,mound,3-8,5,#8f6fb3,,#5b7a4b,,,shade,medium,"sandy,loamy,clay",,2.5,,,,#6b5a4a,6-11,moderate,LYLA,Lysimachia lanceolata Walter,Forb/herb,CAN:N|L48:N,Rhizomatous,Erect,Medium,Moderate,Porous,No,Yes,Yes,No,Late Spring,Spring and Summer,Summer,Fall,2.5,Low,Medium,Medium,Yes,Yes,Yes,5.0,7.0
maleberry,maleberry,Lyonia ligustrina,vase,,3-5,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,9,,,,,3-12,,LYLI,Lyonia ligustrina (L.) DC.,Shrub,L48:N,,,Coarse,Moderate,Porous,No,No,No,No,Spring,,Spring,Winter,9.0,Low,High,,No,Yes,Yes,5.0,6.5
pale-desert-thorn,pale desert-thorn,Lycium pallidum,vase,6-8,3,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,6,,,,,6-11,heavy,LYPA,Lycium pallidum Miers,Shrub,L48:N,Multiple Stem,Rounded,Medium,Moderate,Porous,No,Yes,Yes,Yes,Early Spring,Summer,Summer,Fall,6.0,High,High,Medium,Yes,Yes,No,7.0,8.5
taperleaf-water-horehound,taperleaf water horehound,Lycopus rubellus,mound,6-11,7,,,#5b7a4b,,,shade,high,"sandy,loamy,clay",,1.6,,,,#6b5a4a,6-11,moderate,LYRU,Lycopus rubellus Moench,Forb/herb,L48:N,Single Crown,Erect,Coarse,Moderate,Porous,No,No,No,No,Mid Summer,Summer and Fall,Summer,Fall,1.6,Low,Low,High,Yes,Yes,Yes,5.2,7.2
virginia-water-horehound,Virginia water horehound,Lycopus virginicus,mound,3-8,6-8,#f1f1e2,,,,,shade,high,"loamy,clay",,4,,,,#3a3a34,9-12,moderate,LYVI4,Lycopus virginicus L.,Forb/herb,CAN:N|L48:N,Stoloniferous,Erect,Medium,Porous,Porous,No,Yes,Yes,No,Summer,Spring and Summer,Fall,Winter,4.0,Low,Low,High,No,Yes,Yes,5.0,6.3
roving-sailor,roving sailor,Maurandella antirrhiniflora,mound,3-5,4,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,0.8,,,,#6b5a4a,3-5,moderate,MAAN9,Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.,Forb/herb,HI:I|L48:N,Single Crown,Prostrate,Medium,Porous,Porous,No,Yes,No,No,Mid Spring,Spring,Spring,Spring,0.8,High,Medium,Medium,Yes,Yes,Yes,6.8,9.0
purple-bushbean,purple bushbean,Macroptilium atropurpureum,mound,3-8,,#8f6fb3,,,,,part-sun,low,"sandy,loamy,clay",,4,,,,#6b5a4a,1-12,light,MAAT80,Macroptilium atropurpureum (Moc. & Sessé ex DC.) Urb.,Forb/herb,HI:I|L48:N|PR:N,Thicket Forming,Climbing,Fine,Dense,Moderate,Yes,Yes,Yes,Yes,Indeterminate,Spring and Summer,Year Round,Year Round,4.0,Medium,Medium,Low,Yes,Yes,Yes,5.0,8.0
cassava,cassava,Manihot esculenta,mound,1-12,,#5b7a4b,,#5b7a4b,,,full-sun,medium,"loamy,clay",,10,,,,#6b5a4a,1-12,,MAES,Manihot esculenta Crantz,Forb/herb,HI:I|L48:I|NAV:I|PB:I|PR:I|VI:I,Single Stem,Semi-Erect,Medium,Dense,Moderate,Yes,No,No,Yes,Indeterminate,Year Round,Year Round,Year Round,10.0,High,Low,Medium,No,Yes,Yes,5.0,5.5
southern-magnolia,southern magnolia,Magnolia grandiflora,tree,3-8,4,#f1f1e2,,#5b7a4b,,,shade,high,"loamy,clay",,100,,,,#b3261e,6-8,moderate,MAGR4,Magnolia grandiflora L.,Tree,L48:N|PR:I,Single Stem,Rounded,Coarse,Dense,Dense,Yes,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Summer,100.0,Low,Low,High,No,Yes,Yes,4.5,6.5
prairie-crab-apple,prairie crab apple,Malus ioensis,vase,3-8,4,#f1f1e2,,#5b7a4b,,,full-sun,medium,"sandy,loamy,clay",,25,,,,#5b7a4b,6-8,moderate,MAIO,Malus ioensis (Alph. Wood) Britton,Shrub,L48:N,Single Stem,Irregular,Medium,Dense,Moderate,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Summer,25.0,High,High,Medium,Yes,Yes,Yes,5.0,7.0
apple,apple,Malus,vase,3-8,4,#8f6fb3,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,30,,,,#b3261e,6-11,moderate,MALUS,Malus Mill.,Shrub,AK:N|CAN:I|CAN:N|L48:I|L48:N|SPM:I,Multiple Stem,Erect,Coarse,Dense,Porous,No,Yes,Yes,Yes,Mid Spring,Spring and Summer,Summer,Fall,30.0,High,Medium,Medium,Yes,Yes,No,5.0,7.5
osage-orange,Osage-orange,Maclura pomifera,vase,3-8,5,#5b7a4b,,#5b7a4b,,,full-sun,medium,"sandy,loamy",,35,,,,#d98a3d,6-11,moderate,MAPO,Maclura pomifera (Raf.) C.K. Schneid.,Shrub,CAN:I|L48:N,Single Stem,Erect,Coarse,Dense,Porous,No,No,Yes,No,Late Spring,Spring and Summer,Summer,Fall,35.0,High,Medium,Medium,Yes,Yes,No,4.5,7.5
creeping-barberry,creeping barberry,Mahonia repens,vase,3-5,4,#e8d24a,,#5b7a4b,,,shade,medium,loamy,,2,,,,#5b7ea3,6-11,moderate,MARE11,Mahonia repens (Lindl.) G. Don,Shrub,CAN:N|L48:N,Stoloniferous,Semi-Erect,Coarse,Moderate,Moderate,Yes,Yes,Yes,Yes,Mid Spring,Spring,Summer,Fall,2.0,Low,High,Medium,No,Yes,No,5.5,7.5
